Title,Date,Rating,Author,Summary,OCN,Pros,Cons
Avast Mobile Security,2020-02-03,7.4,Morten Skeldal Østergaard,Billig säkerhetslösning för Android.,Program appar spel, Stoppade alla virus," En falsk varning
"
Belkin Wireless Charging Vent Mount 10 W,2020-01-17,7.9,Morten Skeldal Østergaard,Trådlös mobilladdare för instrumentbrädan.,Portabelt batteri, Välbyggd," Långsam laddning
"
Huawei Watch GT2 46 mm,2020-01-17,8.4,Morten Skeldal Østergaard,"Smartklocka som visar tid, mäter antal steg, tar pulsen och mycket annat.",Smartklockor, Många funktioner," Trögstartad skärm
"
Ikea Trådfri – set med gatweay,2019-12-13,6.9,Morten Skeldal Østergaard,Smarta glödlampor som kan styras vi en app i mobilen.,Diverse, Billigt, Kräver gateway (hubb)
Alienware AW5520QF,2019-12-13,7.9,Markus Dahlberg,En OLED-skärm på 55 tum med 4K-upplösning och rekordhög kontrast.,Skärm, Enorm, Enorm
Lenovo Tab P10,2020-01-17,8.2,Morten Skeldal Østergaard,Välbyggd surfplatta för hela familjen.,Pekdator, Rimligt pris," Barn-appen är inte på svenska
"
Sony Xperia 5,2020-01-18,8.8,Morten Skeldal Østergaard,Lång mobiltelefon med delbar skärm.,Telefon, Bra skärm, Dåliga foton i svagt ljus
"Lenovo Yoga Smart Tab 10,1″ 32 GB",2020-01-19,9.1,Henrik Ræder Clausen,Androidbaserad surfplatta med simkort och annorlunda stativ.,Pekdator, Genialt stativ," Medelmåttiga prestanda
"
Huawei FreeBuds 3,2019-11-19,7.6,Markus Dahlberg,Trådlösa hörlurar med stil.,Hörlurar och headset, Bra passform, Trist styrning
Dynabook Portégé X30-F,2020-01-19,8.6,Markus Dahlberg,Lättviktsdator för hemmakontoret.,Dator, Lätt och smidig, Svajig skärm
HyperX Cloud Stinger Wireless,2020-01-23,8.6,Morten Skeldal Østergaard,Trådlöst headset till datorn.,Hörlurar och headset, Godkänd ljudkvalitet," Micro-usb
"
Trust Torro GXT 698,2020-01-23,7.9,Morten Skeldal Østergaard,Bastung surroundanläggning till datorn.,Högtalare, Utmärkt surroundljud, Dominant bas
Redragon Cobra,2020-01-20,7.8,Morten Skeldal Østergaard,Lågprismus för datorspelare.,Mus, Billig," För glatt yta
"
Airthings Wave Mini,2020-01-20,8.5,Morten Skeldal Østergaard,Liten klimatmätare för inomhusbruk.,Diverse, Bra app," Bara avläsbar hemma
"
Bitdefender Internet Security,2020-01-20,9.4,Niklas Ernst,Säkerhetsprogram med fokus på integritet.,Program appar spel, Hög säkerhet,
Arlo Pro 3,2020-01-23,9.1,Morten Skeldal Østergaard,Helt trådlös övervakningskamera.,Övervakningskamera, Bra app," Dyr
"
ErgonomicScrollApplication,2020-02-03,8.3,Morten Skeldal Østergaard,Enkel app som automatiserar mushjulet.,Program appar spel, Mindre jobb för pekfingret, Dyrt för en enda funktion
F-Secure SAFE,2020-01-21,8.3,Niklas Ernst,Elegant säkerhet med vettiga funktioner.,Program appar spel, Hög säkerhet," Få funktioner
"
Bullguard Internet Security,2020-01-21,8.0,Niklas Ernst,"Hög säkerhet, men det ser rörigt och trist ut.",Program appar spel, Inbyggd backup," Inte så intuitivt
"
Norton 360 Standard,2020-01-21,9.5,Morten Skeldal Østergaard,En av de bästa säkerhetsprogrammen blir tvåa.,Program appar spel, Ett av de effektivaste säkerhetsprogrammen," En falsk varning
"
Samsung Galaxy Tab S5e,2020-01-17,8.3,Morten Skeldal Østergaard,Tunn och lätt surfplatta.,Pekdator, Bra prestanda, Bixby fattar inte svenska
Kaspersky Internet Security (2020),2020-01-18,9.6,Morten Skeldal Østergaard,Omfattande säkerhetspaket för datorn.,Program appar spel, Effektivt skydd,
F-Secure Safe (Android),2020-01-19,8.5,Morten Skeldal Østergaard,Komplett säkerhetspaket till mobilen.,Program appar spel, Skyddar tre enheter," Falsk säkerhetsvarning
"
Adata SC685 Ultra Slim 500 GB,2020-01-19,9.4,Morten Skeldal Østergaard,Liten extern ssd.,Hårddisk, Extremt snabb," Högt pris/gigabyte
"
TP-Link Deco P9,2020-01-20,8.4,Henrik Ræder Clausen,Meshsystem med tre routrar via Wi-Fi och elledningarna.,Router, Höga topphastigheter," Begränsade administrationsmöjligheter
"
Huawei Nova 5T,2020-01-20,9.0,Morten Skeldal Østergaard,Mellanklasstelefon med toppegenskaper.,Telefon, Bra kamera," Inget hörlursuttag
"
AVG Internet Security,2020-01-20,9.4,Niklas Ernst,Skydd för tio olika typer av enheter.,Program appar spel, Hög säkerhet," Lite krångliga inställningar
"
HP EliteDisplay E273,2020-01-19,7.9,Morten Skeldal Østergaard,En basskärm som trivs lika ensam som i dubbel uppsättning.,Skärm, Fin kvalitet för priset," Halvdan kontrast
"
Acer Swift 3 – SF314-57-710U,2020-01-19,8.4,Morten Skeldal Østergaard,Lätt bärbar för kontorsarbete.,Dator, Liten och lätt, Få portar
Logitech G815,2020-01-19,8.4,Morten Skeldal Østergaard,Mekaniskt tangentbordet med udda finess.,Tangentbord, Bra tangenter," Liten entertangent
"
